phase,cross_step_enabled,rank,selected_intervals,cycle_ms,target_ms,draft_ms,target_to_draft_ms,draft_to_target_ms,draft_host_ms
0,False,0,21,51.50293,39.84156,4.15274,1.531895,6.053174,9.248502
0,False,1,21,51.500977,40.141479,4.13702,1.534363,5.716911,9.06851
0,False,2,21,51.445679,39.86866,4.14666,1.546307,5.910156,9.411465
0,False,3,21,51.577881,39.339981,4.11572,1.555206,6.432202,9.178801
0,False,4,21,51.53479,39.801182,4.11202,1.559669,6.024162,8.961368
0,False,5,21,51.526001,39.794361,4.13088,1.554516,6.020317,8.976498
0,False,6,21,51.560303,39.335541,4.15136,1.536514,6.450132,9.266923
0,False,7,21,51.358398,39.009579,4.23176,1.445927,6.618132,9.294243
1,True,0,21,46.05542,39.051319,4.10358,1.537552,1.569308,9.202322
1,True,1,21,46.067383,39.082878,4.17204,1.438179,1.582165,9.335813
1,True,2,21,46.187744,39.35778,4.15612,1.450596,1.277939,9.263833
1,True,3,21,46.190186,39.34922,4.15438,1.450256,1.278823,9.06379
1,True,4,21,46.194702,39.353142,4.14192,1.46442,1.278502,8.880607
1,True,5,21,46.224609,39.367741,4.1397,1.459473,1.271872,8.930317
1,True,6,21,46.197266,39.349281,4.14704,1.454437,1.288083,9.003049
1,True,7,21,46.105713,39.169979,4.14404,1.449722,1.284221,9.280123
2,False,0,21,51.504395,40.048302,4.13146,1.455795,5.846939,9.175082
2,False,1,21,51.540161,40.13464,4.17366,1.455227,5.750199,9.292653
2,False,2,21,51.492676,40.13166,4.18558,1.456577,5.723605,9.263952
2,False,3,21,51.586792,39.837662,4.15138,1.476967,6.091834,9.12036
2,False,4,21,51.582153,40.001019,4.15654,1.477085,5.872787,9.05615
2,False,5,21,51.54126,39.83704,4.18906,1.461224,6.025338,10.873006
2,False,6,21,51.607788,39.786839,4.18908,1.449974,6.093153,9.015749
2,False,7,21,51.489014,39.334999,4.19874,1.428722,6.533524,9.178221
3,True,0,21,46.1521,39.154881,4.17338,1.469101,1.295735,9.152071
3,True,1,21,46.173706,39.146141,4.21298,1.449589,1.2856,9.245842
3,True,2,21,46.120361,39.229698,4.21812,1.440201,1.268321,9.342743
3,True,3,21,46.152344,39.229198,4.21586,1.451771,1.270468,9.05663
3,True,4,21,46.141846,38.866859,4.11254,1.544342,1.582068,8.931888
3,True,5,21,46.144897,38.846298,4.2152,1.461563,1.590827,8.878287
3,True,6,21,46.147461,39.211861,4.22936,1.444668,1.278791,9.002869
3,True,7,21,46.104492,39.169102,4.23036,1.428337,1.269152,9.475725
